ts,side,price,qty,fee,cash_after,position_after,unrealized_pnl_at_fill
2024-10-01T13:00:00+00:00,buy,63105.2,0.00075000,0.1183222500000,952.5527777500000,0.00075000,-0.016312500000000000
2024-10-01T15:00:00+00:00,buy,62403.1,0.00075000,0.1170058125000,905.6334469375000,0.00150000,-0.675975000000000000
2024-10-01T17:00:00+00:00,buy,62055.9,0.00075000,0.1163548125000,858.9751671250000,0.00225000,-1.691550000000000000
2024-10-01T20:00:00+00:00,buy,61825.7,0.00075000,0.1159231875000,812.4899689375000,0.00300000,-4.103025000000000000
2024-10-01T21:00:00+00:00,buy,61653.8,0.00075000,0.1156008750000,766.1340180625000,0.00375000,-4.647525000000000000
2024-10-01T22:00:00+00:00,buy,61516.6,0.00075000,0.1153436250000,719.8812244375000,0.00450000,-5.405999999999999999999999985
2024-10-01T23:00:00+00:00,buy,61402.5,0.00075000,0.1151296875000,673.7142197500000,0.00525000,-6.051599999999999999999999978
2024-10-02T00:00:00+00:00,buy,61304.9,0.00075000,0.1149466875000,627.6205980625000,0.00600000,-5.7147750000000000000000000
2024-10-02T11:00:00+00:00,buy,61219.6,0.00187500,0.2869668750000,512.5468811875000,0.00787500,-4.734431250000000000000000008
2024-10-02T12:00:00+00:00,buy,61057.5,0.00187500,0.2862070312500,397.7778616562500,0.00975000,-6.137550000000000000000000022
2024-10-02T16:00:00+00:00,sell,62043.6,0.00062500,0.0969431250000,436.4581685312500,0.00912500,4.080770192307692307692307671
2024-10-02T19:00:00+00:00,buy,60926.8,0.00075000,0.1142377500000,390.6488307812500,0.00987500,-10.94866730769230769230769234
2024-10-02T20:00:00+00:00,buy,60875.4,0.00012500,0.0190235625000,383.0203822187500,0.01000000,-9.780148557692307692307692300
2024-10-04T17:00:00+00:00,sell,61982.6,0.00050000,0.0774782500000,413.9342039687500,0.00950000,5.316533870192307692307692315
2024-10-04T18:00:00+00:00,sell,61982.6,0.00062500,0.0968478125000,452.5764811562500,0.00887500,4.964986905048076923076923084
2024-10-04T19:00:00+00:00,sell,61982.6,0.00125000,0.1936956250000,529.8610355312500,0.00762500,6.298517974759615384615384621
2024-10-04T20:00:00+00:00,sell,61982.6,0.00125000,0.1936956250000,607.1455899062500,0.00637500,5.051774044471153846153846159
2024-10-04T21:00:00+00:00,sell,61982.6,0.00125000,0.1936956250000,684.4301442812500,0.00512500,4.100180114182692307692307696
2024-10-04T22:00:00+00:00,sell,61982.6,0.00125000,0.1936956250000,761.7146986562500,0.00387500,2.763979933894230769230769234
2024-10-04T23:00:00+00:00,sell,61982.6,0.00050000,0.0774782500000,792.6285204062500,0.00337500,1.815193611778846153846153849
2024-10-05T00:00:00+00:00,sell,61982.6,0.00050000,0.0774782500000,823.5423421562500,0.00287500,1.680394789663461538461538464
2024-10-05T01:00:00+00:00,sell,61982.6,0.00050000,0.0774782500000,854.4561639062500,0.00237500,1.257764717548076923076923079
2024-10-05T05:00:00+00:00,sell,61982.6,0.00025000,0.0387391250000,869.9130747812500,0.00212500,1.047593431490384615384615386
2024-10-05T06:00:00+00:00,sell,61982.6,0.00025000,0.0387391250000,885.3699856562500,0.00187500,1.093659645432692307692307694
2024-10-05T07:00:00+00:00,sell,61982.6,0.00025000,0.0387391250000,900.8268965312500,0.00162500,0.9974008593750000000000000012
2024-10-05T08:00:00+00:00,sell,61982.6,0.00025000,0.0387391250000,916.2838074062500,0.00137500,0.7851045733173076923076923088
2024-10-05T09:00:00+00:00,sell,61982.6,0.00050000,0.0774782500000,947.1976291562500,0.00087500,0.5838745012019230769230769238
2024-10-05T10:00:00+00:00,sell,61982.6,0.00050000,0.0774782500000,978.1114509062500,0.00037500,0.2551631790865384615384615388
2024-10-05T11:00:00+00:00,sell,61982.6,0.00037500,0.0581086875000,1001.2968172187500,0E-8,0
2024-10-07T23:00:00+00:00,buy,62551.4,0.00075000,0.1172838750000,954.2659833437500,0.00075000,-0.166312500000000000
2024-10-09T11:00:00+00:00,buy,61855.5,0.00075000,0.1159790625000,907.7583792812500,0.00150000,-3.673950000000000000
2024-10-09T18:00:00+00:00,buy,61511.4,0.00075000,0.1153338750000,861.5094954062500,0.00225000,-1.071600000000000000000000008
2024-10-09T19:00:00+00:00,buy,61283.3,0.00075000,0.1149061875000,815.4321142187500,0.00300000,-2.3565000000000000000000000
2024-10-09T20:00:00+00:00,buy,61112.8,0.00075000,0.1145865000000,769.4829277187500,0.00375000,-3.5256750000000000000000000
2024-10-09T21:00:00+00:00,buy,60976.8,0.00075000,0.1143315000000,723.6359962187500,0.00450000,-3.994124999999999999999999985
2024-10-09T22:00:00+00:00,buy,60863.8,0.00075000,0.1141196250000,677.8740265937500,0.00525000,-3.420712500000000000000000022
2024-10-09T23:00:00+00:00,buy,60767.0,0.00075000,0.1139381250000,632.1848384687500,0.00600000,-3.8772000000000000000000000
2024-10-10T00:00:00+00:00,buy,60682.5,0.00075000,0.1137796875000,586.5591837812500,0.00675000,-5.097862500000000000000000008
2024-10-10T15:00:00+00:00,buy,60607.5,0.00187500,0.2840976562500,472.6360236250000,0.00862500,-4.640268750000000000000000041
2024-10-10T17:00:00+00:00,buy,60460.9,0.00137500,0.2078343437500,389.2944517812500,0.01000000,-10.3281750000000000000000000
2024-10-11T13:00:00+00:00,sell,61475.0,0.00062500,0.0960546875000,427.6202720937500,0.00937500,4.3685859375000000000000000
2024-10-11T14:00:00+00:00,sell,61475.0,0.00125000,0.1921093750000,504.2719127187500,0.00812500,5.8791078125000000000000000
2024-10-11T15:00:00+00:00,sell,61475.0,0.00187500,0.2881640625000,619.2493736562500,0.00625000,6.5492656250000000000000000
2024-10-11T16:00:00+00:00,sell,61475.0,0.00187500,0.2881640625000,734.2268345937500,0.00437500,5.3700171875000000000000000
2024-10-11T17:00:00+00:00,sell,61475.0,0.00187500,0.2881640625000,849.2042955312500,0.00250000,3.7335812500000000000000000
2024-10-11T18:00:00+00:00,sell,61475.0,0.00187500,0.2881640625000,964.1817564687500,0.00062500,1.1160203125000000000000000
2024-10-11T19:00:00+00:00,sell,61475.0,0.00062500,0.0960546875000,1002.5075767812500,0E-8,0
2024-10-21T14:00:00+00:00,buy,67488.7,0.00075000,0.1265413125000,951.7645104687500,0.00075000,-0.116250000000000000
2024-10-23T09:00:00+00:00,buy,66737.8,0.00075000,0.1251333750000,901.5860270937500,0.00150000,-1.069275000000000000
2024-10-23T12:00:00+00:00,buy,66366.5,0.00075000,0.1244371875000,851.6867149062500,0.00225000,-1.190437499999999999999999992
2024-10-23T16:00:00+00:00,buy,66120.4,0.00075000,0.1239757500000,801.9724391562500,0.00300000,-1.8415500000000000000000000
2024-10-23T17:00:00+00:00,buy,65936.5,0.00075000,0.1236309375000,752.3964332187500,0.00375000,-2.7391125000000000000000000
2024-10-23T18:00:00+00:00,buy,65789.8,0.00075000,0.1233558750000,702.9307273437500,0.00450000,-3.279900000000000000000000015
2024-10-24T00:00:00+00:00,sell,66871.5,0.00062500,0.1044867187500,744.6209281250000,0.00387500,2.153660416666666666666666654
2024-10-24T01:00:00+00:00,sell,66871.5,0.00125000,0.2089734375000,828.0013296875000,0.00262500,2.442781249999999999999999991
2024-10-24T02:00:00+00:00,sell,66871.5,0.00125000,0.2089734375000,911.3817312500000,0.00137500,1.228883333333333333333333329
2024-10-24T03:00:00+00:00,sell,66871.5,0.00125000,0.2089734375000,994.7621328125000,0.00012500,0.1161916666666666666666666662
2024-10-24T04:00:00+00:00,sell,66871.5,0.00012500,0.0208973437500,1003.1001729687500,0E-8,0
2024-10-25T18:00:00+00:00,buy,67043.5,0.00075000,0.1257065625000,952.6918414062500,0.00075000,-0.191362500000000000
2024-10-25T23:00:00+00:00,buy,66297.6,0.00075000,0.1243080000000,902.8443334062500,0.00150000,-0.675450000000000000
2024-10-26T20:00:00+00:00,sell,67137.2,0.00050000,0.0839215000000,936.3290119062500,0.00100000,0.601150000000000000
