ts,side,price,qty,fee,cash_after,position_after,unrealized_pnl_at_fill
2023-01-03T15:00:00+00:00,buy,16676.0,0.00150000,0.0625350000000,974.9234650000000,0.00150000,-0.031650000000000000
2023-01-03T17:00:00+00:00,buy,16633.6,0.00150000,0.0623760000000,949.9106890000000,0.00300000,-0.088650000000000000
2023-01-03T21:00:00+00:00,sell,16746.4,0.00100000,0.0418660000000,966.6152230000000,0.00200000,0.306500000000000000
2023-01-04T03:00:00+00:00,sell,16746.4,0.00100000,0.0418660000000,983.3197570000000,0.00100000,0.146750000000000000
2023-01-04T04:00:00+00:00,sell,16746.4,0.00100000,0.0418660000000,1000.0242910000000,0E-8,0
2023-01-06T11:00:00+00:00,buy,16757.5,0.00150000,0.0628406250000,974.8252003750000,0.00150000,-0.006600000000000000
2023-01-06T19:00:00+00:00,sell,16849.7,0.00100000,0.0421242500000,991.6327761250000,0.00050000,0.073375000000000000
2023-01-06T20:00:00+00:00,sell,16849.7,0.00050000,0.0210621250000,1000.0365640000000,0E-8,0
2023-01-09T21:00:00+00:00,buy,17242.8,0.00150000,0.0646605000000,974.1077035000000,0.00150000,-0.044850000000000000
2023-01-09T23:00:00+00:00,buy,17198.9,0.00150000,0.0644958750000,948.2448576250000,0.00300000,-0.175500000000000000
2023-01-10T15:00:00+00:00,sell,17315.6,0.00050000,0.0216445000000,956.8810131250000,0.00250000,0.245375000000000000
2023-01-10T16:00:00+00:00,sell,17315.6,0.00062500,0.0270556250000,967.6762075000000,0.00187500,0.258843750000000000
2023-01-10T17:00:00+00:00,sell,17315.6,0.00062500,0.0270556250000,978.4714018750000,0.00125000,0.121687500000000000
2023-01-10T18:00:00+00:00,sell,17315.6,0.00100000,0.0432890000000,995.7437128750000,0.00025000,0.039437500000000000
2023-01-10T19:00:00+00:00,sell,17315.6,0.00025000,0.0108222500000,1000.0617906250000,0E-8,0
2023-01-11T15:00:00+00:00,buy,17382.7,0.00150000,0.0651851250000,973.9225555000000,0.00150000,-0.002700000000000000
2023-01-11T19:00:00+00:00,sell,17478.3,0.00050000,0.0218478750000,982.6398576250000,0.00100000,0.132700000000000000
2023-01-11T20:00:00+00:00,sell,17478.3,0.00100000,0.0436957500000,1000.0744618750000,0E-8,0
2023-01-12T08:00:00+00:00,buy,18124.5,0.00187500,0.0849585937500,966.0060657812500,0.00187500,-0.031500000000000000
2023-01-12T12:00:00+00:00,sell,18224.2,0.00025000,0.0113901250000,970.5507256562500,0.00162500,0.172331250000000000
2023-01-12T15:00:00+00:00,buy,18078.4,0.00075000,0.0338970000000,956.9580286562500,0.00237500,-0.1073312500000000000000000112
2023-01-12T17:00:00+00:00,sell,18209.5,0.00075000,0.0341428125000,970.5810108437500,0.00162500,0.6076815789473684210526315712
2023-01-12T18:00:00+00:00,sell,18209.5,0.00075000,0.0341428125000,984.2039930312500,0.00087500,0.5962319078947368421052631538
2023-01-12T19:00:00+00:00,sell,18209.5,0.00087500,0.0398332812500,1000.0974722500000,0E-8,0
2023-01-14T09:00:00+00:00,buy,20828.8,0.00150000,0.0781080000000,968.7761642500000,0.00150000,-0.268500000000000000
2023-01-14T10:00:00+00:00,buy,20775.9,0.00075000,0.0389548125000,953.1552844375000,0.00225000,-0.9961125000000000000000000075
2023-01-14T11:00:00+00:00,buy,20758.2,0.00075000,0.0389216250000,937.5477128125000,0.00300000,-0.5726250000000000000000000000
2023-01-14T18:00:00+00:00,buy,20745.0,0.00075000,0.0388968750000,921.9500659375000,0.00375000,-0.19833750000000000000000000
2023-01-14T22:00:00+00:00,sell,20901.7,0.00025000,0.0130635625000,927.1624273750000,0.00350000,0.53396000000000000000000000
2023-01-14T23:00:00+00:00,sell,20901.7,0.00100000,0.0522542500000,948.0118731250000,0.00250000,0.55327500000000000000000000
2023-01-15T01:00:00+00:00,buy,20734.5,0.00187500,0.0971929687500,909.0374926562500,0.00437500,-0.1896312500000000000000000188
2023-01-15T03:00:00+00:00,buy,20711.9,0.00150000,0.0776696250000,877.8919730312500,0.00587500,-0.7250624999999999999999999950
2023-01-15T08:00:00+00:00,buy,20698.4,0.00075000,0.0388095000000,862.3293635312500,0.00662500,-0.5093687499999999999999999975
2023-01-15T09:00:00+00:00,buy,20692.4,0.00075000,0.0387982500000,846.7712652812500,0.00737500,-0.5443687500000000000000000062
2023-01-15T15:00:00+00:00,sell,20853.9,0.00050000,0.0260673750000,857.1721479062500,0.00687500,0.9627563559322033898305084688
2023-01-15T16:00:00+00:00,sell,20853.9,0.00050000,0.0260673750000,867.5730305312500,0.00637500,1.036493961864406779661016944
2023-01-15T17:00:00+00:00,sell,20853.9,0.00125000,0.0651684375000,893.5752370937500,0.00512500,1.093866101694915254237288131
2023-01-15T20:00:00+00:00,sell,20853.9,0.00062500,0.0325842187500,906.5763403750000,0.00450000,0.6434427966101694915254237250
2023-01-15T21:00:00+00:00,sell,20853.9,0.00062500,0.0325842187500,919.5774436562500,0.00387500,0.6286694915254237288135593188
2023-01-15T23:00:00+00:00,sell,20853.9,0.00062500,0.0325842187500,932.5785469375000,0.00325000,0.4517086864406779661016949125
2023-01-16T00:00:00+00:00,sell,20853.9,0.00050000,0.0260673750000,942.9794295625000,0.00275000,0.4222275423728813559322033875
2023-01-16T01:00:00+00:00,sell,20853.9,0.00150000,0.0782021250000,974.1820774375000,0.00125000,0.4921091101694915254237288125
2023-01-16T02:00:00+00:00,sell,20853.9,0.00125000,0.0651684375000,1000.1842840000000,0E-8,0
2023-01-16T08:00:00+00:00,buy,21044.1,0.00150000,0.0789153750000,968.5392186250000,0.00150000,-0.232950000000000000
2023-01-16T09:00:00+00:00,buy,20990.5,0.00150000,0.0787143750000,936.9747542500000,0.00300000,-0.700950000000000000
2023-01-16T10:00:00+00:00,buy,20963.8,0.00075000,0.0393071250000,921.2125971250000,0.00375000,-0.572437500000000000
2023-01-16T11:00:00+00:00,buy,20953.1,0.00075000,0.0392870625000,905.4584850625000,0.00450000,-0.7804499999999999999999999850
2023-01-16T12:00:00+00:00,buy,20944.3,0.00075000,0.0392705625000,889.7109895000000,0.00525000,-0.8573624999999999999999999850
2023-01-16T13:00:00+00:00,buy,20936.7,0.00075000,0.0392563125000,873.9692081875000,0.00600000,-0.9347250000000000000000000
2023-01-16T14:00:00+00:00,buy,20930.0,0.00075000,0.0392437500000,858.2324644375000,0.00675000,-0.9744000000000000000000000300
2023-01-16T15:00:00+00:00,buy,20924.1,0.00075000,0.0392326875000,842.5001567500000,0.00750000,-1.2834000000000000000000000
2023-01-16T18:00:00+00:00,sell,21087.5,0.00100000,0.0527187500000,863.5349380000000,0.00650000,1.3300950000000000000000000
2023-01-16T19:00:00+00:00,sell,21087.5,0.00150000,0.0790781250000,895.0871098750000,0.00500000,1.7541500000000000000000000
2023-01-16T20:00:00+00:00,sell,21087.5,0.00150000,0.0790781250000,926.6392817500000,0.00350000,1.3019300000000000000000000
2023-01-16T21:00:00+00:00,sell,21087.5,0.00125000,0.0658984375000,952.9327583125000,0.00225000,0.4555800000000000000000000
2023-01-16T22:00:00+00:00,sell,21087.5,0.00125000,0.0658984375000,979.2262348750000,0.00100000,0.2022800000000000000000000
2023-01-16T23:00:00+00:00,sell,21087.5,0.00100000,0.0527187500000,1000.2610161250000,0E-8,0
2023-01-17T01:00:00+00:00,buy,21127.1,0.00187500,0.0990332812500,960.5486703437500,0.00187500,-0.236906250000000000
